,match_id,match_date,sard_rank,sard_wr,sard_win,sard_team,t1_avg_rank,t2_avg_rank,t1_med_rank,t2_med_rank,t1_best_rank,t2_best_rank,t1_lowest_rank,t2_lowest_rank,t1_avg_role_note,t2_avg_role_note,t1_avg_wr,t2_avg_wr,t1_med_wr,t2_med_wr,t1_best_wr,t2_best_wr,t1_lowest_wr,t2_lowest_wr
21,KR_5953290030,2022-06-05 12:49:42.948,3.5,53.398058252427184,False,2,2.8,2.62,2.8,2.8,2.8,3.5,2.8,2.0,10.0,9.2,49.97490185965435,50.35062298363269,50.72463768115942,51.11111111111111,51.27388535031847,53.398058252427184,47.91318864774624,45.58404558404558
22,KR_5953163852,2022-06-05 12:10:18.521,3.5,53.398058252427184,False,1,3.0,2.7299999999999995,3.2,2.8,3.5,3.2,2.0,2.0,14.4,14.6,51.18330170161404,59.83425381372746,50.0,54.666666666666664,59.04255319148937,78.57142857142857,45.16129032258064,52.60869565217391
23,KR_5952043570,2022-06-04 17:36:06.247,3.5,53.398058252427184,True,1,3.46,2.46,3.5,2.0,4.0,3.5,2.8,2.0,16.6,14.8,53.394112660010066,46.96315040446047,53.398058252427184,51.06382978723404,60.71428571428571,59.61538461538461,44.680851063829785,27.27272727272727
24,KR_5951786286,2022-06-04 17:02:00.498,3.5,53.398058252427184,False,2,3.0800000000000005,3.15,2.8000000000000003,3.5,3.5,3.5,2.8,2.4499999999999997,14.8,13.4,58.355236224713884,46.30619844266915,58.620689655172406,51.11111111111111,64.38356164383562,53.398058252427184,52.63157894736842,31.70731707317073
25,KR_5951710965,2022-06-04 16:32:17.454,3.5,53.398058252427184,True,1,3.16,2.46,3.5,2.0,4.0,3.5,2.0,2.0,13.4,12.2,55.57700475623701,43.13665416530326,53.92670157068062,47.05882352941176,68.96551724137932,56.00000000000001,43.90243902439025,21.052631578947366
26,KR_5951643075,2022-06-04 15:59:36.160,3.5,53.398058252427184,False,1,2.46,2.72,2.0,2.8,3.5,3.2,2.0,2.0,13.4,13.8,52.32720729808109,46.63963418106711,50.965250965250966,49.863760217983646,58.18181818181818,52.56410256410257,49.09090909090909,35.294117647058826
27,KR_5951498016,2022-06-04 15:33:30.618,3.5,53.398058252427184,False,1,2.7600000000000002,2.65,2.8000000000000003,2.4499999999999997,3.5,4.0,2.0,2.0,10.4,11.6,47.86345003432382,53.5475935828877,49.0,46.81372549019608,55.55555555555556,78.0,36.36363636363637,38.0
28,KR_5951409399,2022-06-04 14:50:32.767,3.5,53.398058252427184,True,2,2.97,3.16,2.8,3.2,4.0,3.5,2.4499999999999997,2.8,12.4,14.4,49.713487911024316,49.64682038464332,51.12540192926045,50.45045045045045,51.66666666666667,56.25,44.79166666666667,42.3728813559322
29,KR_5951460201,2022-06-04 14:06:45.347,3.5,53.398058252427184,False,1,2.94,2.88,3.2,3.2,3.5,4.0,2.0,2.0,16.6,17.2,51.23410744623144,56.07834913653075,53.398058252427184,55.55555555555556,57.14285714285714,63.70967741935484,42.3728813559322,44.785276073619634
30,KR_5951363232,2022-06-04 13:26:36.780,3.5,53.398058252427184,False,2,3.16,3.05,3.5,3.15,4.0,3.5,2.0,2.4000000000000004,14.0,13.5,61.53258174195362,58.3171869768999,59.32203389830508,58.685344827586206,73.07692307692307,62.5,47.05882352941176,53.398058252427184
31,KR_5951188872,2022-06-04 12:52:38.336,3.5,53.398058252427184,True,1,3.6399999999999997,3.15,3.5,3.5,4.0,3.5,3.2,1.75,14.0,14.4,59.276386204805796,57.96036793095616,53.591160220994475,57.49999999999999,76.31578947368422,75.0,40.0,35.294117647058826
32,KR_5951205356,2022-06-04 12:28:24.622,3.5,53.398058252427184,False,1,3.0200000000000005,3.4,2.8000000000000003,3.5,4.0,4.0,2.0,2.8,10.6,11.8,54.5926716161038,54.89243621464868,53.398058252427184,53.73134328358209,60.416666666666664,59.09090909090909,49.56896551724138,52.22222222222223
33,KR_5951180613,2022-06-04 11:56:48.656,3.5,53.398058252427184,True,1,3.16,2.62,3.2,2.8,3.5,3.5,2.8,2.0,13.4,12.6,51.97802848117037,51.58089280456237,52.02020202020202,50.847457627118644,55.73770491803278,62.06896551724138,48.734177215189874,42.857142857142854
34,KR_5951131504,2022-06-04 10:57:35.530,3.5,53.398058252427184,True,2,2.56,3.1,2.8,3.2,3.2,3.5,2.0,2.8,13.0,14.8,48.86441705900704,51.44919404759952,49.02597402597403,52.610441767068274,59.25925925925925,53.398058252427184,35.55555555555556,47.8134110787172
35,KR_5948493596,2022-06-02 21:07:49.532,3.5,53.398058252427184,False,1,3.16,2.8800000000000003,3.2,3.2,3.5,3.2,2.8,2.0,16.8,17.2,52.36251208338588,53.529293272866155,53.398058252427184,53.75722543352601,56.25,58.620689655172406,47.61904761904761,46.898263027295286
36,KR_5948562160,2022-06-02 20:54:57.041,3.5,53.398058252427184,False,1,2.46,3.09,2.25,3.5,3.5,4.0,1.75,2.0,1.8,2.8,60.15231365564724,51.88475359579881,55.47945205479452,52.63157894736842,83.33333333333334,63.46153846153846,43.333333333333336,42.66666666666667
37,KR_5948500852,2022-06-02 20:07:37.299,3.5,53.398058252427184,False,1,2.71,3.2600000000000002,2.8,3.5,3.5,4.0,2.0,2.0,14.6,16.2,58.705519845360115,55.66055410018258,55.223880597014926,53.333333333333336,69.04761904761905,68.62745098039215,51.57232704402516,50.37707390648567
